YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS50M
2018,1,2,10,5.32,95.62,0.4,99.97,7.22
2018,1,2,11,6.37,95.19,0.69,99.83,8.91
2018,1,2,12,7.04,94.06,0.5,99.66,10.98
2018,1,2,13,7.37,94.06,0.22,99.51,12.03
2018,1,2,14,7.82,95.88,0.15,99.38,11.64
2018,1,2,15,8.64,96.12,0.09,99.31,11.48
2018,1,2,16,9.14,95.12,0.04,99.32,11.69
2018,1,2,17,8.69,94.88,0.02,99.25,10.36
2018,1,2,18,8.0,97.31,0.03,99.12,9.38
2018,1,2,19,8.0,97.94,0.03,98.93,10.39
2018,1,2,20,8.59,97.44,0.11,98.7,11.97
2018,1,2,21,9.43,96.94,0.26,98.41,13.79
2018,1,2,22,10.52,95.38,0.95,98.13,18.23
2018,1,2,23,11.58,93.75,1.32,97.97,19.4
2018,1,3,0,11.17,89.94,0.61,97.97,19.06
2018,1,3,1,8.8,85.56,0.1,98.07,17.93
2018,1,3,2,7.34,85.81,0.11,98.15,16.93
2018,1,3,3,6.94,82.62,0.14,98.19,17.86
2018,1,3,4,6.62,80.38,0.05,98.21,18.12
2018,1,3,5,6.49,79.25,0.03,98.23,18.45
2018,1,3,6,6.6,77.69,0.03,98.27,19.45
2018,1,3,7,6.73,77.44,0.03,98.33,19.45
2018,1,3,8,7.08,75.56,0.0,98.44,19.5
2018,1,3,9,7.62,74.31,0.0,98.58,19.88
2018,1,3,10,8.37,71.81,0.0,98.72,19.39
2018,1,3,11,8.95,69.44,0.0,98.81,19.36
2018,1,3,12,9.19,68.81,0.01,98.9,19.39
2018,1,3,13,9.01,69.75,0.01,98.97,19.04
2018,1,3,14,8.55,72.0,0.01,99.03,17.99
2018,1,3,15,7.9,75.56,0.01,99.08,16.73
2018,1,3,16,7.37,78.69,0.01,99.15,15.96
2018,1,3,17,7.1,80.12,0.0,99.17,15.15
2018,1,3,18,6.72,82.12,0.0,99.16,14.38
2018,1,3,19,6.38,84.0,0.0,99.15,13.91
2018,1,3,20,6.1,85.56,0.0,99.15,13.57
2018,1,3,21,5.82,87.25,0.0,99.17,13.15
2018,1,3,22,5.58,89.12,0.0,99.16,12.11
2018,1,3,23,5.48,91.56,0.0,99.12,10.88
2018,1,4,0,4.82,97.94,0.0,99.02,9.52
2018,1,4,1,4.69,100.0,0.0,99.01,9.12
2018,1,4,2,5.12,98.0,0.03,99.01,8.07
2018,1,4,3,5.35,97.69,0.21,98.86,6.68
2018,1,4,4,5.51,97.38,0.86,98.79,6.45
2018,1,4,5,5.3,98.44,1.36,98.7,4.4
2018,1,4,6,5.33,98.75,1.55,98.55,4.11
2018,1,4,7,6.03,97.88,1.2,98.41,5.74
2018,1,4,8,7.32,97.19,0.57,98.33,6.47
2018,1,4,9,9.59,95.44,0.07,98.25,11.51
2018,1,4,10,11.28,93.81,0.03,98.2,14.77
2018,1,4,11,11.52,92.25,0.04,98.15,15.64
2018,1,4,12,11.26,89.38,0.04,98.13,16.1
2018,1,4,13,10.78,83.69,0.02,98.15,17.04
2018,1,4,14,9.65,77.06,0.01,98.19,17.54
2018,1,4,15,8.49,75.75,0.01,98.24,17.09
2018,1,4,16,7.68,79.38,0.01,98.29,16.23
2018,1,4,17,6.98,83.75,0.01,98.35,15.43
2018,1,4,18,6.36,85.56,0.01,98.44,14.18
2018,1,4,19,5.81,88.06,0.01,98.53,12.99
2018,1,4,20,5.38,90.88,0.01,98.58,12.11
2018,1,4,21,4.95,93.44,0.0,98.6,10.72
2018,1,4,22,4.12,98.5,0.0,98.59,9.07
2018,1,4,23,3.65,100.0,0.01,98.56,8.11
2018,1,5,0,3.83,99.75,0.04,98.5,7.03
2018,1,5,1,4.12,98.25,0.13,98.44,5.85
2018,1,5,2,4.52,98.25,0.33,98.38,5.75
2018,1,5,3,5.26,97.19,0.34,98.31,6.64
2018,1,5,4,5.84,96.38,0.43,98.27,8.29
2018,1,5,5,6.26,95.12,0.18,98.28,10.4
2018,1,5,6,6.04,94.5,0.06,98.33,10.85
2018,1,5,7,5.05,95.75,0.03,98.37,10.01
2018,1,5,8,4.52,96.94,0.02,98.4,8.67
2018,1,5,9,5.35,94.94,0.05,98.41,8.41
2018,1,5,10,6.4,92.5,0.05,98.42,8.97
2018,1,5,11,7.12,88.56,0.02,98.41,10.25
2018,1,5,12,7.37,83.69,0.01,98.41,11.08
2018,1,5,13,7.44,79.25,0.01,98.42,11.24
2018,1,5,14,7.05,79.19,0.01,98.43,10.7
2018,1,5,15,6.07,85.0,0.01,98.48,10.07
2018,1,5,16,5.04,91.81,0.01,98.55,8.92
2018,1,5,17,4.19,97.81,0.01,98.63,7.88
2018,1,5,18,3.62,100.0,0.0,98.71,7.14
2018,1,5,19,3.37,100.0,0.01,98.8,6.21
2018,1,5,20,3.15,100.0,0.01,98.89,4.99
2018,1,5,21,3.02,100.0,0.02,98.96,3.75
2018,1,5,22,3.11,100.0,0.02,99.03,2.71
2018,1,5,23,3.02,99.31,0.03,99.08,2.37
2018,1,6,0,2.99,96.94,0.05,99.13,2.79
2018,1,6,1,2.65,96.38,0.06,99.19,3.33
2018,1,6,2,2.32,96.31,0.07,99.25,3.81
2018,1,6,3,2.12,96.19,0.07,99.3,4.01
2018,1,6,4,1.92,96.06,0.06,99.35,4.31
2018,1,6,5,1.64,95.94,0.06,99.42,4.61
2018,1,6,6,1.34,95.88,0.05,99.51,4.87
2018,1,6,7,1.16,95.88,0.05,99.6,5.21
2018,1,6,8,1.18,95.56,0.04,99.72,5.59
2018,1,6,9,1.51,94.81,0.04,99.84,6.1
2018,1,6,10,2.15,94.25,0.05,99.94,6.42
2018,1,6,11,2.96,93.75,0.05,100.01,6.73
2018,1,6,12,3.77,93.12,0.06,100.04,7.3
2018,1,6,13,4.45,92.31,0.05,100.08,7.81
2018,1,6,14,4.7,92.75,0.05,100.15,8.39
2018,1,6,15,4.55,93.5,0.04,100.24,9.45
2018,1,6,16,4.23,93.69,0.03,100.34,9.9
2018,1,6,17,3.94,93.06,0.02,100.47,9.91
2018,1,6,18,3.68,92.62,0.03,100.6,10.06
2018,1,6,19,3.33,93.12,0.03,100.73,9.81
2018,1,6,20,2.98,93.5,0.02,100.85,9.78
2018,1,6,21,2.58,93.62,0.01,100.96,9.77
2018,1,6,22,2.13,93.81,0.01,101.05,9.73
2018,1,6,23,1.7,93.81,0.0,101.12,9.71
2018,1,7,0,1.31,93.75,0.0,101.17,9.74
2018,1,7,1,0.86,94.31,0.0,101.21,9.46
2018,1,7,2,0.48,95.44,0.0,101.25,9.4
2018,1,7,3,0.25,97.0,0.0,101.29,9.46
2018,1,7,4,0.23,98.0,0.0,101.34,9.49
2018,1,7,5,0.4,98.19,0.0,101.39,9.53
2018,1,7,6,0.61,98.12,0.0,101.45,9.57
2018,1,7,7,0.68,97.94,0.0,101.52,9.52
2018,1,7,8,0.8,96.31,0.0,101.6,9.83
2018,1,7,9,1.68,91.5,0.0,101.67,9.9
2018,1,7,10,2.94,86.19,0.0,101.71,9.78
2018,1,7,11,4.19,77.69,0.0,101.7,11.56
2018,1,7,12,4.84,68.56,0.0,101.68,13.12
2018,1,7,13,4.84,64.12,0.0,101.66,13.22
2018,1,7,14,4.21,65.25,0.0,101.65,12.78
2018,1,7,15,2.96,71.19,0.0,101.66,12.54
2018,1,7,16,1.8,76.62,0.0,101.67,12.35
2018,1,7,17,1.18,79.56,0.0,101.67,11.63
2018,1,7,18,0.56,83.56,0.0,101.67,11.04
2018,1,7,19,0.15,86.38,0.0,101.67,10.33
2018,1,7,20,-0.11,88.12,0.0,101.66,10.01
2018,1,7,21,-0.16,88.56,0.0,101.63,9.88
2018,1,7,22,-0.24,89.94,0.0,101.61,9.62
2018,1,7,23,-0.27,91.88,0.0,101.59,9.53
2018,1,8,0,-0.29,94.69,0.0,101.54,9.41
2018,1,8,1,-0.1,96.38,0.0,101.52,9.42
2018,1,8,2,0.43,96.19,0.0,101.49,9.13
2018,1,8,3,0.78,96.44,0.0,101.46,8.57
2018,1,8,4,1.21,95.69,0.01,101.44,8.25
2018,1,8,5,1.48,95.69,0.01,101.43,8.07
2018,1,8,6,1.69,96.06,0.01,101.42,7.76
2018,1,8,7,1.85,96.81,0.01,101.41,7.52
2018,1,8,8,2.2,96.38,0.01,101.39,7.3
2018,1,8,9,3.05,93.88,0.01,101.38,6.75
2018,1,8,10,3.9,90.06,0.01,101.34,7.37
2018,1,8,11,4.56,85.88,0.01,101.28,7.94
2018,1,8,12,4.85,84.06,0.01,101.19,7.46
2018,1,8,13,4.9,83.75,0.01,101.11,6.94
2018,1,8,14,4.62,85.88,0.01,101.07,6.51
2018,1,8,15,3.9,90.94,0.01,101.04,6.35
2018,1,8,16,3.26,94.69,0.01,101.02,6.7
2018,1,8,17,3.18,95.19,0.01,100.99,6.76
2018,1,8,18,3.01,96.06,0.01,100.95,6.51
2018,1,8,19,2.73,97.12,0.0,100.88,6.39
2018,1,8,20,2.56,97.69,0.0,100.8,6.29
2018,1,8,21,2.67,96.94,0.01,100.74,6.23
2018,1,8,22,2.93,96.0,0.01,100.67,6.05
2018,1,8,23,2.98,96.44,0.0,100.58,5.49
2018,1,9,0,2.69,98.25,0.0,100.47,5.13
2018,1,9,1,2.75,98.31,0.0,100.4,5.29
2018,1,9,2,3.19,96.69,0.01,100.35,5.34
2018,1,9,3,3.32,96.88,0.01,100.27,5.28
2018,1,9,4,3.4,97.25,0.01,100.18,5.22
2018,1,9,5,3.57,97.12,0.01,100.1,5.56
2018,1,9,6,3.69,97.12,0.01,100.04,5.8
2018,1,9,7,3.69,97.44,0.01,99.95,5.41
2018,1,9,8,3.76,97.25,0.01,99.89,4.68
2018,1,9,9,4.19,95.38,0.01,99.85,3.89
2018,1,9,10,4.62,93.0,0.02,99.83,4.11
2018,1,9,11,4.94,91.69,0.02,99.78,4.6
2018,1,9,12,5.24,91.19,0.02,99.72,4.62
2018,1,9,13,5.46,91.69,0.01,99.66,4.26
2018,1,9,14,5.3,94.62,0.01,99.61,3.97
2018,1,9,15,4.65,98.31,0.01,99.57,4.81
2018,1,9,16,4.36,100.0,0.01,99.55,5.84
2018,1,9,17,4.58,100.0,0.01,99.56,6.5
2018,1,9,18,4.87,100.0,0.04,99.57,6.83
2018,1,9,19,5.3,100.0,0.05,99.57,7.06
2018,1,9,20,5.73,99.12,0.04,99.55,7.45
2018,1,9,21,6.01,98.75,0.04,99.52,8.07
2018,1,9,22,6.23,98.31,0.08,99.48,8.16
2018,1,9,23,6.55,97.94,0.12,99.45,8.35
2018,1,10,0,6.87,97.88,0.12,99.4,8.04
2018,1,10,1,6.87,98.62,0.07,99.36,7.6
2018,1,10,2,6.89,98.88,0.06,99.33,7.78
2018,1,10,3,7.08,98.44,0.13,99.31,8.01
2018,1,10,4,7.22,98.12,0.25,99.3,7.48
2018,1,10,5,7.12,98.31,0.33,99.31,6.64
2018,1,10,6,6.78,98.69,0.32,99.35,6.22
2018,1,10,7,6.43,98.31,0.2,99.41,6.7
2018,1,10,8,6.07,97.56,0.1,99.47,7.11
2018,1,10,9,6.04,96.44,0.05,99.53,6.64
2018,1,10,10,6.67,93.75,0.02,99.57,6.35
2018,1,10,11,7.54,90.38,0.01,99.57,5.85
2018,1,10,12,8.3,85.44,0.0,99.57,5.72
2018,1,10,13,8.48,82.81,0.0,99.59,5.51
2018,1,10,14,7.95,86.06,0.0,99.63,5.17
2018,1,10,15,5.95,95.19,0.0,99.67,5.24
2018,1,10,16,4.58,100.0,0.0,99.71,5.07
2018,1,10,17,4.37,100.0,0.0,99.76,4.44
2018,1,10,18,4.37,100.0,0.01,99.81,3.61
2018,1,10,19,4.49,99.0,0.01,99.85,2.78
2018,1,10,20,4.65,97.19,0.01,99.89,2.18
2018,1,10,21,4.64,96.25,0.01,99.93,1.91
2018,1,10,22,4.59,95.19,0.0,99.96,1.88
2018,1,10,23,4.44,94.75,0.01,99.99,2.08
2018,1,11,0,4.0,96.38,0.01,100.01,2.51
2018,1,11,1,3.42,99.0,0.01,100.07,2.99
2018,1,11,2,2.98,100.0,0.01,100.15,3.38
2018,1,11,3,2.8,100.0,0.02,100.24,3.73
2018,1,11,4,3.08,100.0,0.03,100.33,4.09
2018,1,11,5,3.36,99.0,0.05,100.42,4.28
2018,1,11,6,3.48,98.75,0.05,100.51,4.29
2018,1,11,7,3.47,99.25,0.04,100.58,4.42
2018,1,11,8,3.89,98.38,0.04,100.66,4.51
2018,1,11,9,4.73,96.5,0.05,100.74,4.39
2018,1,11,10,5.3,96.0,0.07,100.81,4.16
2018,1,11,11,5.83,95.75,0.08,100.86,4.16
2018,1,11,12,6.21,95.94,0.09,100.9,4.62
2018,1,11,13,6.38,96.38,0.08,100.95,5.18
2018,1,11,14,6.36,97.0,0.07,101.03,5.54
2018,1,11,15,6.15,97.44,0.06,101.11,5.87
2018,1,11,16,5.94,97.44,0.06,101.2,6.09
2018,1,11,17,5.79,97.31,0.07,101.3,6.01
2018,1,11,18,5.65,97.31,0.05,101.38,5.78
2018,1,11,19,5.53,97.31,0.05,101.44,5.45
2018,1,11,20,5.44,97.38,0.04,101.48,5.11
2018,1,11,21,5.36,97.5,0.02,101.51,4.8
2018,1,11,22,5.3,97.69,0.02,101.55,4.47
2018,1,11,23,5.2,98.06,0.02,101.57,4.02
2018,1,12,0,5.1,98.38,0.02,101.56,3.67
2018,1,12,1,5.0,98.81,0.03,101.59,3.17
2018,1,12,2,4.9,99.12,0.04,101.61,2.62
2018,1,12,3,4.88,99.12,0.03,101.64,2.2
2018,1,12,4,4.88,99.06,0.03,101.65,1.87
2018,1,12,5,4.9,99.0,0.02,101.66,1.74
2018,1,12,6,4.62,99.75,0.01,101.67,1.98
2018,1,12,7,4.27,100.0,0.01,101.67,2.57
2018,1,12,8,4.6,99.62,0.01,101.69,3.1
2018,1,12,9,5.44,97.0,0.01,101.71,2.95
2018,1,12,10,6.09,94.81,0.02,101.72,3.08
2018,1,12,11,6.84,90.38,0.04,101.69,3.61
2018,1,12,12,7.22,87.38,0.05,101.64,3.79
2018,1,12,13,7.29,86.5,0.04,101.59,3.88
2018,1,12,14,6.98,89.12,0.03,101.58,3.94
2018,1,12,15,5.78,95.5,0.04,101.57,4.72
2018,1,12,16,4.81,98.5,0.03,101.57,5.77
2018,1,12,17,4.9,97.31,0.02,101.56,6.31
2018,1,12,18,4.94,96.62,0.01,101.56,6.37
2018,1,12,19,4.85,96.88,0.01,101.54,6.35
2018,1,12,20,4.71,97.38,0.01,101.53,6.25
2018,1,12,21,4.65,97.44,0.01,101.51,6.07
2018,1,12,22,4.55,97.44,0.02,101.47,6.0
2018,1,12,23,4.49,97.25,0.02,101.43,5.99
2018,1,13,0,4.39,97.0,0.02,101.38,6.08
2018,1,13,1,4.24,96.88,0.02,101.33,6.35
2018,1,13,2,4.12,96.88,0.02,101.3,6.4
2018,1,13,3,3.86,97.12,0.02,101.24,6.8
2018,1,13,4,3.94,96.25,0.02,101.2,7.14
2018,1,13,5,3.98,95.94,0.01,101.17,7.34
2018,1,13,6,4.05,95.88,0.01,101.16,7.65
2018,1,13,7,4.23,95.5,0.01,101.15,7.99
2018,1,13,8,4.59,94.31,0.01,101.16,8.09
2018,1,13,9,5.23,91.62,0.01,101.17,8.07
2018,1,13,10,5.78,88.75,0.01,101.17,8.17
2018,1,13,11,6.15,85.75,0.01,101.14,8.23
2018,1,13,12,6.39,83.12,0.0,101.08,8.13
2018,1,13,13,6.39,81.5,0.0,101.04,7.89
2018,1,13,14,6.13,81.62,0.0,101.01,7.37
2018,1,13,15,5.58,84.06,0.01,101.0,7.05
2018,1,13,16,4.98,86.5,0.01,101.0,7.18
2018,1,13,17,4.66,87.56,0.01,101.03,7.31
2018,1,13,18,4.43,88.12,0.01,101.04,7.39
2018,1,13,19,4.19,88.44,0.01,101.06,7.35
2018,1,13,20,3.87,89.19,0.0,101.04,7.06
2018,1,13,21,3.52,90.25,0.0,101.03,6.73
2018,1,13,22,3.21,91.56,0.0,101.02,6.43
2018,1,13,23,2.9,93.0,0.0,100.99,6.14
2018,1,14,0,2.73,93.75,0.0,100.98,5.95
2018,1,14,1,2.68,93.81,0.0,100.97,5.87
2018,1,14,2,2.7,93.56,0.0,100.96,5.88
2018,1,14,3,2.7,93.44,0.0,100.95,5.97
2018,1,14,4,2.73,93.06,0.0,100.95,6.16
2018,1,14,5,2.56,93.69,0.0,100.96,6.24
2018,1,14,6,1.99,95.81,0.0,100.96,6.34
2018,1,14,7,1.48,98.25,0.0,100.94,6.28
2018,1,14,8,1.93,95.88,0.0,100.94,5.77
2018,1,14,9,3.8,87.88,0.0,100.95,4.4
2018,1,14,10,5.15,78.12,0.0,100.97,3.26
2018,1,14,11,5.97,71.5,0.0,100.97,1.94
2018,1,14,12,6.33,68.81,0.0,100.94,0.95
2018,1,14,13,6.35,68.06,0.0,100.87,0.95
2018,1,14,14,5.94,74.44,0.0,100.77,2.02
2018,1,14,15,3.48,86.81,0.0,100.71,3.28
2018,1,14,16,1.59,90.94,0.0,100.7,3.71
2018,1,14,17,0.91,95.88,0.0,100.71,4.05
2018,1,14,18,0.59,98.62,0.0,100.74,4.77
2018,1,14,19,1.08,95.94,0.0,100.73,5.77
2018,1,14,20,1.83,92.94,0.0,100.67,6.79
2018,1,14,21,2.72,90.31,0.0,100.57,7.9
2018,1,14,22,3.45,89.44,0.0,100.45,8.77
2018,1,14,23,3.96,90.0,0.0,100.34,9.03
2018,1,15,0,4.38,90.56,0.0,100.24,9.38
2018,1,15,1,4.76,90.62,0.02,100.16,10.01
2018,1,15,2,5.19,90.44,0.1,100.05,10.9
2018,1,15,3,5.59,91.88,0.25,99.89,11.77
2018,1,15,4,5.9,94.38,0.47,99.7,12.77
2018,1,15,5,6.18,95.06,0.88,99.52,14.11
2018,1,15,6,6.19,95.69,0.79,99.36,14.71
2018,1,15,7,6.6,95.31,0.71,99.2,15.76
2018,1,15,8,7.15,94.69,0.74,99.04,16.12
2018,1,15,9,7.74,94.06,0.88,98.85,15.81
2018,1,15,10,8.7,93.94,0.96,98.68,14.99
2018,1,15,11,9.87,93.56,0.7,98.5,14.01
2018,1,15,12,10.59,91.5,0.29,98.35,13.02
2018,1,15,13,10.46,89.44,0.16,98.25,12.62
2018,1,15,14,9.62,87.75,0.09,98.26,12.66
2018,1,15,15,8.62,87.88,0.03,98.32,12.51
2018,1,15,16,7.85,88.0,0.01,98.36,12.4
2018,1,15,17,7.32,88.0,0.01,98.42,12.21
2018,1,15,18,6.91,88.06,0.01,98.53,12.29
2018,1,15,19,6.45,88.19,0.0,98.55,11.86
2018,1,15,20,5.78,90.44,0.0,98.56,11.36
2018,1,15,21,4.98,94.44,0.0,98.57,10.99
2018,1,15,22,4.62,96.69,0.0,98.55,10.66
2018,1,15,23,4.55,97.38,0.02,98.5,10.35
2018,1,16,0,4.65,97.31,0.06,98.43,10.41
2018,1,16,1,4.85,96.81,0.07,98.38,10.85
2018,1,16,2,4.94,96.25,0.05,98.35,11.39
2018,1,16,3,4.83,95.0,0.04,98.33,12.01
2018,1,16,4,4.69,92.94,0.02,98.38,12.76
2018,1,16,5,4.32,91.56,0.02,98.44,12.91
2018,1,16,6,3.91,90.5,0.01,98.52,12.93
2018,1,16,7,3.58,90.25,0.0,98.59,12.65
2018,1,16,8,3.63,89.31,0.0,98.66,12.43
2018,1,16,9,4.33,86.0,0.0,98.71,12.21
2018,1,16,10,5.15,81.69,0.0,98.76,12.33
2018,1,16,11,5.75,76.31,0.01,98.75,12.83
2018,1,16,12,5.95,72.88,0.01,98.71,13.14
2018,1,16,13,5.77,72.75,0.01,98.67,13.11
2018,1,16,14,5.28,75.12,0.01,98.61,12.75
2018,1,16,15,4.54,80.06,0.01,98.57,12.28
2018,1,16,16,3.69,86.56,0.02,98.54,11.92
2018,1,16,17,3.23,90.0,0.02,98.51,11.72
2018,1,16,18,2.87,92.12,0.01,98.5,11.01
2018,1,16,19,2.53,94.12,0.01,98.52,10.72
2018,1,16,20,2.42,94.38,0.01,98.53,11.09
2018,1,16,21,2.32,93.12,0.01,98.52,11.61
2018,1,16,22,2.05,91.81,0.01,98.51,12.07
2018,1,16,23,1.8,90.88,0.01,98.54,12.49
2018,1,17,0,1.61,89.88,0.02,98.58,12.63
2018,1,17,1,1.45,89.5,0.03,98.64,12.66
2018,1,17,2,1.43,90.06,0.0,98.71,12.67
2018,1,17,3,1.45,88.69,0.0,98.81,13.13
2018,1,17,4,1.48,85.25,0.0,98.91,14.94
2018,1,17,5,1.67,85.0,0.0,99.06,15.63
2018,1,17,6,1.94,86.75,0.0,99.2,14.88
2018,1,17,7,2.0,88.38,0.0,99.34,14.25
2018,1,17,8,2.19,88.69,0.0,99.47,13.52
2018,1,17,9,3.12,85.56,0.0,99.57,13.02
2018,1,17,10,4.47,80.0,0.0,99.65,13.52
2018,1,17,11,5.57,72.88,0.0,99.7,14.8
2018,1,17,12,6.03,69.44,0.0,99.73,14.9
2018,1,17,13,6.08,69.69,0.0,99.76,14.54
2018,1,17,14,5.76,72.0,0.0,99.81,13.77
2018,1,17,15,4.9,77.44,0.0,99.85,12.65
2018,1,17,16,3.81,84.38,0.0,99.89,11.87
2018,1,17,17,3.66,86.81,0.0,99.9,10.9
2018,1,17,18,3.59,89.12,0.0,99.89,9.87
2018,1,17,19,3.69,90.88,0.05,99.84,9.9
2018,1,17,20,3.73,93.94,0.16,99.74,9.59
2018,1,17,21,3.88,96.31,0.37,99.57,9.63
2018,1,17,22,4.37,96.5,0.77,99.34,10.6
2018,1,17,23,4.85,95.81,1.31,99.03,12.69
2018,1,18,0,6.05,94.62,0.82,98.72,16.61
2018,1,18,1,8.23,92.75,0.25,98.47,19.97
2018,1,18,2,9.33,92.44,0.1,98.33,19.95
2018,1,18,3,9.98,90.31,0.09,98.26,20.86
2018,1,18,4,9.58,84.62,0.05,98.3,21.46
2018,1,18,5,7.98,81.44,0.01,98.41,20.78
2018,1,18,6,6.61,81.75,0.0,98.59,18.95
2018,1,18,7,5.3,83.56,0.0,98.78,16.52
2018,1,18,8,4.74,85.75,0.0,98.97,14.37
2018,1,18,9,5.42,82.88,0.0,99.1,12.88
2018,1,18,10,6.5,78.0,0.0,99.17,12.25
2018,1,18,11,7.31,73.0,0.0,99.19,12.21
2018,1,18,12,7.58,71.19,0.01,99.18,11.61
2018,1,18,13,7.31,74.06,0.07,99.18,10.86
2018,1,18,14,6.62,81.06,0.17,99.2,10.06
2018,1,18,15,5.78,87.69,0.11,99.24,9.7
2018,1,18,16,4.86,92.25,0.06,99.27,9.18
2018,1,18,17,4.34,93.62,0.05,99.33,9.11
2018,1,18,18,3.95,94.56,0.03,99.38,8.91
2018,1,18,19,3.58,94.94,0.01,99.42,8.92
2018,1,18,20,3.13,95.31,0.0,99.46,9.05
2018,1,18,21,2.55,96.0,0.0,99.51,8.98
2018,1,18,22,2.01,96.56,0.0,99.57,8.96
2018,1,18,23,1.59,96.94,0.0,99.62,8.83
2018,1,19,0,1.29,97.38,0.0,99.67,8.55
2018,1,19,1,1.23,97.5,0.0,99.72,8.49
2018,1,19,2,1.06,98.38,0.0,99.77,7.68
2018,1,19,3,1.11,97.56,0.0,99.8,7.58
2018,1,19,4,1.06,97.62,0.0,99.82,7.22
2018,1,19,5,0.84,97.94,0.01,99.84,6.62
2018,1,19,6,0.8,97.44,0.01,99.86,6.53
2018,1,19,7,0.65,97.62,0.01,99.89,6.57
2018,1,19,8,0.84,96.94,0.01,99.93,6.71
2018,1,19,9,1.44,95.56,0.0,99.96,6.56
2018,1,19,10,2.72,91.12,0.0,99.98,7.5
2018,1,19,11,4.36,82.81,0.01,99.96,8.45
2018,1,19,12,5.42,75.75,0.01,99.9,9.46
2018,1,19,13,5.57,73.56,0.01,99.87,9.88
2018,1,19,14,5.15,76.75,0.03,99.83,9.93
2018,1,19,15,4.4,82.69,0.05,99.82,10.17
2018,1,19,16,3.68,87.75,0.03,99.86,10.27
2018,1,19,17,3.16,91.25,0.01,99.89,9.44
2018,1,19,18,2.69,94.25,0.0,99.9,8.57
2018,1,19,19,2.48,95.88,0.0,99.91,8.74
2018,1,19,20,2.37,95.69,0.0,99.94,9.36
2018,1,19,21,1.85,97.69,0.0,99.95,9.21
2018,1,19,22,1.4,98.56,0.0,99.93,8.34
2018,1,19,23,1.13,99.5,0.0,99.9,7.83
2018,1,20,0,1.15,98.81,0.0,99.88,7.56
2018,1,20,1,0.99,99.0,0.0,99.85,6.84
2018,1,20,2,1.35,97.12,0.0,99.77,6.28
2018,1,20,3,1.55,97.56,0.02,99.67,5.52
2018,1,20,4,1.8,97.62,0.1,99.57,5.19
2018,1,20,5,1.73,99.12,0.26,99.48,4.82
2018,1,20,6,1.76,100.0,0.35,99.4,4.67
2018,1,20,7,2.1,99.69,0.31,99.3,4.92
2018,1,20,8,2.88,97.94,0.26,99.17,5.32
2018,1,20,9,3.87,96.06,0.32,99.05,5.26
2018,1,20,10,4.45,95.69,0.8,98.89,5.86
2018,1,20,11,4.48,95.5,1.83,98.82,4.41
2018,1,20,12,4.21,95.12,1.16,98.72,3.48
2018,1,20,13,4.03,95.94,1.16,98.61,3.39
2018,1,20,14,3.55,97.38,0.97,98.57,2.94
2018,1,20,15,2.73,97.75,0.47,98.69,4.56
2018,1,20,16,1.85,96.5,0.07,98.89,6.79
2018,1,20,17,1.23,96.81,0.01,99.09,6.77
2018,1,20,18,0.8,97.75,0.0,99.28,5.67
2018,1,20,19,0.65,97.44,0.01,99.49,5.34
2018,1,20,20,0.54,97.0,0.02,99.66,4.99
2018,1,20,21,0.38,96.69,0.02,99.83,4.94
2018,1,20,22,0.21,96.5,0.02,99.96,5.07
